Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
Clownface,68,28,2.43,9,0.86,0.35,3,1,0,0,10.00,1.00,cornflake jackson: 2,iGotSmores: 5,"M1 GARAND: 64, MK2 GRENADE: 3, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/7997
Top,87,24,3.62,19,1.02,0.28,4,0,0,0,11.00,1.00,[ESPT] rupert: 5,[ESPT] SAP: 7,"SVT40: 77, MOSIN NAGANT 91/30: 6, 57MM CANNON [ZiS-2]: 3, Sd.Kfz 251 Half-track: 1",http://144.126.151.248:8010/#/gamescoreboard/7995
[ESPT] TaKaHara,73,18,4.06,22,0.83,0.21,3,0,3,2,20.00,1.00,Slanderz: 3,spiringspade67: 5,SVT40: 73,http://144.126.151.248:8010/#/gamescoreboard/7995
[ESPT] rupert,67,37,1.81,11,0.84,0.46,5,0,1,1,6.00,0.00,Top: 4,Top: 5,GEWEHR 43: 67,http://144.126.151.248:8010/#/gamescoreboard/7995
Bury McCockiner,67,16,4.19,12,0.88,0.21,2,0,1,1,14.00,1.00,Dominic2k21: 2,abfish24: 4,"MG34: 29, KARABINER 98K: 12, 20MM KWK 30 [Sd.Kfz.121 Luchs]: 9, 75MM CANNON [Sd.Kfz.161 Panzer IV]: 4, COAXIAL MG34 [Sd.Kfz.121 Luchs]: 3, 50mm KwK 39/1 [Sd.Kfz.234 Puma]: 3, MP40: 3, 150MM HOWITZER [sFH 18]: 2, M43 STIELHANDGRANATE: 1, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 1",http://144.126.151.248:8010/#/gamescoreboard/7995
gunmetal16,65,4,16.25,61,0.81,0.05,4,0,0,0,16.00,2.00,Top: 1,abfish24: 7,"88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 51, COAXIAL MG34 [Sd.Kfz.181 Tiger 1]: 10, WALTHER P38: 3, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 1",http://144.126.151.248:8010/#/gamescoreboard/7995
[ESPT]hornetkv,76,30,2.53,14,0.87,0.34,6,0,0,0,11.00,0.00,(WTH) Sgt. Rico: 3,Havok727: 5,GEWEHR 43: 76,http://144.126.151.248:8010/#/gamescoreboard/7983
[ESPT] Ozzinator,75,35,2.14,10,0.86,0.4,5,0,1,1,8.00,0.00,meepmerp: 3,ponyboysoffice: 4,"STG44: 50, GEWEHR 43: 11, MP40: 10, M43 STIELHANDGRANATE: 3, MG42: 1",http://144.126.151.248:8010/#/gamescoreboard/7983
Top,84,3,28,37,1.29,0.05,1,0,0,0,26.00,3.00,KeiszerOG: 1,VoidCtrl: 6,KARABINER 98K x8: 84,http://144.126.151.248:8010/#/gamescoreboard/7978
Erroneous,66,29,2.28,9,0.86,0.38,7,0,0,0,9.00,1.00,BTX_SL4YER: 2,L4rin: 7,"STG44: 64, M43 STIELHANDGRANATE: 2",http://144.126.151.248:8010/#/gamescoreboard/7976
//Soap,101,25,4.04,29,1.16,0.29,2,11,0,0,11.00,0.00,[ESPT] Deco: 11,[ESPT] Sololess: 9,"150MM HOWITZER [sFH 18]: 91, GEWEHR 43: 10",http://144.126.151.248:8010/#/gamescoreboard/7975
